42,0.40236,2.8597,7.7144,-0.021555,0.441,-0.0047031,30.693,-27.362,-0.092827,34.068,-118.45
123,-0.3832,2.419,8.6293,-0.058839,0.1358,-0.13147,30.243,-27.062,-0.092827,34.068,-118.45
202,-0.93885,3.1614,7.4198,-0.08334,0.23061,0.070398,30.243,-26.912,-0.092827,34.068,-118.45
283,-0.35446,3.1782,9.7741,0.17871,0.21303,-0.073945,30.243,-26.612,-0.092827,34.068,-118.45
363,0.00479,3.456,10.792,0.14463,-0.03997,0.34151,30.243,-26.612,0.20717,34.068,-118.45
443,-0.59875,2.6489,11.539,-0.019957,-0.45702,-0.087794,30.243,-25.712,0.50717,34.068,-118.45
525,-0.78796,2.4453,8.9334,0.12598,0.69346,0.29623,30.543,-23.912,0.50717,34.068,-118.45
603,-1.1113,2.4836,9.1011,-0.30438,-0.19869,0.33512,30.843,-24.662,0.50717,34.068,-118.45
684,-0.095801,2.2178,8.7777,0.20908,-0.0048159,-0.045183,30.993,-24.662,0.80717,34.068,-118.45
764,-1.2933,2.1723,8.0233,-0.043393,0.1864,-0.036661,30.993,-24.812,0.95717,34.068,-118.45
844,-1.1927,2.6202,8.6915,0.18351,0.045784,-0.16449,31.143,-24.812,0.80717,34.068,-118.45
1974,-0.41913,1.9783,10.79,0.38484,-0.38512,-0.024411,31.593,-24.812,0.80717,34.068,-118.45
2051,-1.1137,1.9974,11.376,-0.67137,-0.06234,-0.051575,31.443,-24.812,0.80717,34.068,-118.45
2131,0.059875,1.8777,11.024,0.67513,-0.036241,-0.12082,31.293,-24.062,0.80717,34.068,-118.45
2210,0.54367,2.0334,8.0353,0.12332,0.22209,-0.098446,31.293,-22.262,0.80717,34.068,-118.45
2372,-1.3867,2.716,8.0736,0.24742,-0.61521,-0.1368,30.993,-21.212,0.80717,34.068,-118.45
2541,-0.17963,3.4225,12.102,1.5753,-0.78779,0.58758,30.843,-22.412,0.80717,34.068,-118.45
2855,-2.0022,3.159,5.1134,0.10361,1.1558,-0.50005,31.443,-27.812,0.20717,34.068,-118.45
2934,-2.1651,4.4811,8.7131,-0.037001,0.81863,0.31807,32.493,-30.512,0.35717,34.068,-118.45
3010,-3.5374,5.6642,9.4412,-0.91904,-0.44211,-0.24066,35.193,-33.812,0.35717,34.068,-118.45
3090,-2.4549,4.2152,11.443,-1.6487,-0.88952,-0.93628,37.293,-35.012,0.35717,34.068,-118.45
3170,-3.092,3.1423,14.018,0.40721,-1.257,0.88319,37.743,-31.412,0.35717,34.068,-118.45
3252,1.5783,4.1099,8.0521,0.58032,0.43141,-0.99061,37.293,-30.662,0.35717,34.068,-118.45
3331,-1.3197,2.3615,5.3361,0.0050769,-0.067666,-0.43507,36.843,-30.662,0.35717,34.068,-118.45
3412,-1.2358,3.2476,6.4713,-0.17442,-0.0096096,-0.0078989,36.843,-30.662,0.20717,34.068,-118.45
3492,-0.673,4.05,8.773,-0.36723,-0.19337,0.096497,36.693,-30.512,-0.39283,34.068,-118.45
3572,-0.50535,3.1662,12.718,-0.35978,-0.98433,-0.016421,36.393,-29.612,-0.84283,34.068,-118.45
3652,0.59396,3.3578,11.721,-0.23248,0.46443,0.31275,35.493,-27.662,-0.84283,34.068,-118.45
3732,-1.5017,2.4405,9.501,0.25754,0.86764,-0.24279,34.743,-25.262,-0.54283,34.068,-118.45
3813,-0.11975,1.528,7.1587,-1.4442,-0.79098,-1.1781,35.043,-25.562,-0.54283,34.068,-118.45
3893,-1.1568,0.34249,7.7862,-1.3153,-0.71268,-0.5139,34.593,-23.612,-0.39283,34.068,-118.45
3973,-1.8514,0.47421,10.03,0.75928,-1.2698,0.51621,33.243,-20.612,-0.24283,34.068,-118.45
4054,2.5842,2.7255,11.125,0.63571,0.51184,1.3088,32.193,-19.862,-0.092827,34.068,-118.45
4134,0.13412,1.9352,9.2184,-0.07109,0.12674,-0.57036,32.493,-20.312,-0.092827,34.068,-118.45
4211,-0.40236,0.57959,12.04,-1.1481,-1.265,-1.0279,32.493,-20.612,0.80717,34.068,-118.45
4254,1.1855,0.62989,9.5346,-0.37948,-0.28178,-0.25184,31.443,-20.162,0.95717,34.068,-118.45
4373,-0.94364,0.65624,8.5814,-0.79867,0.70944,0.091703,29.943,-20.012,1.4072,34.068,-118.45
4412,-0.69456,1.5903,6.718,0.48018,-0.13957,0.29623,28.443,-18.962,2.1572,34.068,-118.45
