Lat,lng,time
34.06794454,-118.45460553,1487967192670
34.0679352,-118.45475216,1487967194666
34.06793635,-118.45474023,1487967194975
34.06798144,-118.45471592,1487967195985
34.06800769,-118.45477267,1487967197000
34.06801951,-118.45476613,1487967197987
34.06803097,-118.45476233,1487967198987
34.06805268,-118.45469495,1487967199969
34.06807398,-118.45473459,1487967200968
34.06807806,-118.45472506,1487967201965
34.06809004,-118.4547229,1487967202994
34.0681037,-118.45472277,1487967204057
34.06811905,-118.4547258,1487967205016
34.06813823,-118.4547284,1487967206044
34.06815899,-118.45472992,1487967207037
34.06817891,-118.45472884,1487967208041
34.06819198,-118.45472768,1487967209053
34.06821222,-118.45472604,1487967210025
34.06822536,-118.45472394,1487967211057
34.06823671,-118.45472332,1487967212082
34.0682474,-118.45472615,1487967213046
34.06826142,-118.45473432,1487967214049
34.06827476,-118.45473825,1487967215051
34.06828816,-118.45473684,1487967216086
34.06830096,-118.45473449,1487967217044
34.068312,-118.45473071,1487967218040
34.06832644,-118.45472775,1487967219037
34.06834167,-118.45472535,1487967220051
34.06835436,-118.45472267,1487967221049
34.06836406,-118.45472179,1487967222048
34.06837538,-118.45471995,1487967223042
34.06837998,-118.4547157,1487967224049
34.06838841,-118.45471109,1487967225058
34.0683918,-118.45470136,1487967226070
34.06839286,-118.45468962,1487967227047
34.06839257,-118.45467508,1487967228045
34.0683903,-118.45465996,1487967229041
34.06838746,-118.45464797,1487967230038
34.06838544,-118.45463391,1487967231038
34.06838277,-118.45461903,1487967232104
34.06837754,-118.45460863,1487967233132
34.06837002,-118.45459314,1487967234056
34.06836484,-118.45457953,1487967235067
34.06835705,-118.45456563,1487967236042
34.06834795,-118.4545523,1487967237039
34.06833981,-118.45453674,1487967238034
34.06833524,-118.45452536,1487967239023
34.06833274,-118.45451337,1487967240067
34.06832978,-118.45449878,1487967241044
34.06832628,-118.45448693,1487967242064
34.06832146,-118.45447795,1487967243042
34.06832135,-118.45446881,1487967244035
34.06832736,-118.4544572,1487967245038
34.06833111,-118.45444181,1487967246021
34.06833514,-118.45442608,1487967247022
34.06833953,-118.45441447,1487967248029
34.0683422,-118.45439813,1487967249041
34.06834399,-118.45438464,1487967250032
34.06834561,-118.45437094,1487967251036
34.06834674,-118.45435669,1487967252059
34.06834736,-118.45434103,1487967253042
34.06834718,-118.45432491,1487967254022
34.06834877,-118.45431154,1487967255051
34.06835046,-118.45429807,1487967256025
34.06835315,-118.45428167,1487967257049
34.06835166,-118.45426155,1487967258053
34.06834647,-118.4542446,1487967259042
34.06834027,-118.45422636,1487967260037
34.06833684,-118.4542156,1487967261078
34.06833072,-118.45420755,1487967262078
34.06832545,-118.45419174,1487967263048
34.06832089,-118.45417577,1487967264049
34.06831682,-118.45416322,1487967265157
34.06831211,-118.45414807,1487967266038
34.06830891,-118.45413347,1487967267037
34.06830733,-118.4541187,1487967268031
34.06830587,-118.45410599,1487967269044
34.06830274,-118.45409272,1487967270042
34.06830045,-118.45407668,1487967271035
34.06830193,-118.45406077,1487967272034
34.06830375,-118.45404391,1487967273031
34.06830592,-118.45402829,1487967274058
34.06831164,-118.45401018,1487967275053
34.06831818,-118.45399013,1487967276060
34.06831748,-118.45397054,1487967277033
34.06831418,-118.45395352,1487967278049
34.06831739,-118.45393853,1487967279054
34.06832118,-118.45391659,1487967280063
34.06831548,-118.45391049,1487967281059
34.06830269,-118.45389406,1487967282037
34.06829389,-118.4538837,1487967283092
34.06828372,-118.45387285,1487967284050
34.06827405,-118.45386047,1487967285034
34.0682783,-118.45386306,1487967286046
34.06828199,-118.45385733,1487967287045
34.06827598,-118.45383913,1487967288043
34.06827296,-118.4538226,1487967289043
34.06826984,-118.45380613,1487967290029
34.06826689,-118.45379063,1487967291038
34.06826421,-118.45377485,1487967292052
34.06826242,-118.45375813,1487967293031
34.06826448,-118.453735,1487967294040
34.06826352,-118.4537136,1487967295060
34.06826024,-118.453691,1487967296082
34.06825775,-118.45367331,1487967297062
34.06825699,-118.45366063,1487967298068
34.06825311,-118.45364865,1487967299050
34.06824316,-118.45363815,1487967300075
34.06823237,-118.453629,1487967301066
34.06822197,-118.45361743,1487967302053
34.06821876,-118.45360339,1487967303059
34.06822244,-118.45359237,1487967304059
34.06822472,-118.45357386,1487967305045
34.06822391,-118.45355664,1487967306044
34.06822543,-118.45354119,1487967307050
34.06822755,-118.45352364,1487967308055
34.06822744,-118.45350594,1487967309039
34.06822519,-118.45348822,1487967310043
34.06822252,-118.4534683,1487967311053
34.06822004,-118.45344729,1487967312056
34.06821865,-118.45342819,1487967313063
34.06821644,-118.45340955,1487967314060
34.06821572,-118.45338787,1487967315039
34.06821332,-118.45336826,1487967316047
34.06820898,-118.45335083,1487967317052
34.06820703,-118.45333797,1487967318153
34.06820634,-118.45332082,1487967319056
34.06820857,-118.4533045,1487967320050
34.06821024,-118.45328782,1487967321051
34.06821031,-118.45327076,1487967322056
34.06820954,-118.45325518,1487967323046
34.06820726,-118.45323697,1487967324037
34.06820618,-118.45321997,1487967325025
34.06820733,-118.45320504,1487967326042
34.06820709,-118.45318844,1487967327045
34.06820652,-118.45317128,1487967328042
34.06820647,-118.45315421,1487967329048
34.06820568,-118.45313765,1487967330035
34.06820512,-118.45312253,1487967331046
34.06820321,-118.45310357,1487967332037
34.06820071,-118.4530866,1487967333021
34.06819802,-118.45307031,1487967334028
34.06819555,-118.45304916,1487967335040
34.06819358,-118.4530324,1487967336045
34.06819072,-118.45301605,1487967337053
34.06818933,-118.4530016,1487967338058
34.06818773,-118.45298259,1487967339053
34.06818519,-118.45296141,1487967340046
34.06818238,-118.45294113,1487967341039
34.06818062,-118.45292516,1487967342046
34.06817974,-118.45291128,1487967343043
34.06817949,-118.45289498,1487967344045
34.06817861,-118.45287581,1487967345057
34.06817781,-118.45285636,1487967346055
34.06817669,-118.45283816,1487967347035
34.06817486,-118.45282142,1487967348034
34.06817157,-118.45280358,1487967349052
34.06816964,-118.45278952,1487967350041
34.06816945,-118.45277581,1487967351034
34.06817173,-118.4527655,1487967352050
34.06817362,-118.45275395,1487967353048
34.06817452,-118.45273816,1487967354046
34.06817799,-118.45272453,1487967355057
34.06818195,-118.45270777,1487967356058
34.06818507,-118.45269187,1487967357044
34.06818104,-118.45267499,1487967358049
34.06817921,-118.45265684,1487967359046
34.06817956,-118.45263832,1487967360031
34.06817619,-118.45261892,1487967361037
34.06817251,-118.45259928,1487967362059
34.06816889,-118.45258528,1487967363052
34.06817011,-118.45257102,1487967364038
34.06817127,-118.45255027,1487967365045
34.06816749,-118.45252992,1487967366047
34.06816342,-118.45251794,1487967367044
34.06815904,-118.45250755,1487967368041
34.06815877,-118.45249765,1487967369028
34.06816024,-118.45248905,1487967370030
34.06816253,-118.45247565,1487967371037
34.06816526,-118.45246205,1487967372055
34.06816749,-118.45244904,1487967373039
34.06816782,-118.45243555,1487967374056
34.06816443,-118.45242285,1487967375087
34.06815977,-118.45240967,1487967376103
